nama_makanan,label,energi_kkal,protein_g,lemak_g,karbohidrat_g
Cengkeh kering,Lauk Pauk,330,5.2,8.9,57.4
Centel,Lauk Pauk,332,11.0,3.3,73.0
Ceriping getuk singkong,Makanan Pokok,462,1.2,20.7,67.7
Chicken teriyaki masakan,Lauk Pauk,168,13.0,9.6,7.5
Chikiniku masakan,Lauk Pauk,143,9.8,1.4,22.8
Coklat bubuk,Makanan Ringan,311,8.0,4.0,48.9
Coklat Manis batang,Makanan Ringan,472,2.0,29.8,62.7
Coklat Pahit batang,Makanan Ringan,504,5.5,52.9,29.2
Coklat Susu batang,Makanan Ringan,381,9.0,35.0,53.6
Combro ,Lauk Pauk,210,1.6,6.6,35.8
Corned Beef,Lauk Pauk,241,16.0,25.0,0.0
Coto mangkasara kuda masakan,Lauk Pauk,96,6.8,5.9,3.8
Coto mangkasara sapi masakan,Lauk Pauk,84,6.0,6.0,1.4
Cue Selar Kuning,Lauk Pauk,145,27.0,2.3,0.0
Cuka,Lauk Pauk,12,0.1,0.1,5.0
Cumi-cumi goreng,Lauk Pauk,265,40.6,10.1,0.0
Cumi-cumi segar,Lauk Pauk,75,16.1,0.7,0.1
Daging Anak Sapi,Lauk Pauk,190,19.1,12.0,0.0
Daging Asap,Lauk Pauk,191,32.0,6.0,0.0
Daging Babi Gemuk,Lauk Pauk,457,11.6,45.0,0.0
Daging Babi Kurus,Lauk Pauk,376,14.1,35.0,0.0
Daging Domba,Lauk Pauk,206,17.1,14.8,0.0
Daging Kambing,Lauk Pauk,154,16.6,9.2,0.0
Daging Kerbau,Lauk Pauk,84,18.7,0.5,0.0
Daging Kuda,Lauk Pauk,118,18.1,4.1,0.9
Daging Sapi,Lauk Pauk,207,18.8,14.0,0.0
Daun bangun-bangun segar,Lauk Pauk,27,1.3,0.6,4.0
Daun Bawang,Lauk Pauk,29,1.8,0.7,5.2
Daun bawang  merah segar,Lauk Pauk,41,2.0,0.3,7.8
Daun bebuas segar,Lauk Pauk,41,2.7,1.0,7.3
Daun belem segar,Lauk Pauk,50,4.4,1.4,7.8
Daun Beluntas,Lauk Pauk,42,1.8,0.5,9.4
Daun Cincau,Lauk Pauk,122,6.0,1.0,26.0
Daun Gandaria,Lauk Pauk,60,3.1,0.3,14.0
Daun gedi besar segar,Lauk Pauk,58,2.9,0.7,10.0
Daun gelang segar,Lauk Pauk,30,1.3,0.7,5.8
Daun gunda bali segar,Lauk Pauk,50,4.6,0.9,7.0
Daun gunda serang segar,Lauk Pauk,62,4.2,0.9,9.2
Daun Jambu Mete muda,Lauk Pauk,73,4.6,0.5,16.2
Daun jampang segar,Lauk Pauk,34,3.8,0.5,5.3
Daun jawaw seluang segar,Lauk Pauk,93,5.0,1.3,15.3
Daun jonghe segar,Lauk Pauk,27,2.1,0.7,4.4
Daun kacang ma segar,Lauk Pauk,36,2.9,0.6,6.8
Daun Kacang Panjang,Lauk Pauk,34,4.1,0.4,5.8
Daun Kacang Panjang kukus,Lauk Pauk,40,3.7,0.3,8.0
Daun kacang panjang segar,Lauk Pauk,30,3.1,0.3,5.8
Daun kasbi/singkong karet segar,Makanan Pokok,92,4.0,3.6,10.9
Daun Katuk,Lauk Pauk,59,4.8,1.0,11.0
Daun katuk rebus,Lauk Pauk,53,5.3,0.9,9.1
Daun katuk segar,Lauk Pauk,59,6.4,1.0,9.9
Daun Kecipir,Lauk Pauk,47,5.0,0.5,8.5
Daun Kedondong,Lauk Pauk,59,2.8,0.3,13.4
Daun Kelor,Lauk Pauk,82,6.7,1.7,14.3
Daun Kelor rebus,Lauk Pauk,61,6.1,0.9,10.0
Daun Kemangi,Lauk Pauk,46,4.0,0.5,8.9
Daun kenikir segar,Lauk Pauk,45,3.7,0.5,6.6
Daun kesum segar,Lauk Pauk,48,4.5,0.8,9.1
Daun kol sawi segar,Sayur Mayur,22,2.1,0.5,3.6
Daun Koro,Lauk Pauk,23,3.0,0.3,3.7
Daun kubis segar,Makanan Pokok,51,2.5,1.1,8.0
Daun Kumak,Lauk Pauk,14,1.3,0.3,2.3
Daun Labu Siam,Lauk Pauk,60,4.0,0.4,4.7
Daun Labu Waluh,Lauk Pauk,30,3.6,0.6,4.5
Daun lamtoro segar,Lauk Pauk,87,8.3,1.8,14.4
Daun leilem segar,Lauk Pauk,76,2.8,0.2,15.8
Daun Leunca,Lauk Pauk,45,4.7,0.5,8.1
Daun Lobak,Lauk Pauk,30,2.3,0.4,5.8
Daun Lompong Tales,Lauk Pauk,40,3.0,0.8,7.4
