nama_makanan,label,energi_kkal,protein_g,lemak_g,karbohidrat_g
Terong Belanda,Lauk Pauk,48,1.5,0.3,11.3
Terong hintalo segar,Lauk Pauk,45,1.9,0.8,7.5
Terong kukus,Lauk Pauk,23,1.8,0.1,4.9
Terong segar,Lauk Pauk,28,1.1,0.2,5.5
Terung belanda segar,Lauk Pauk,52,2.1,1.1,8.6
Terung bengkulu segar,Lauk Pauk,52,1.1,0.4,11.2
Terung panjang,Lauk Pauk,25,2.1,0.1,5.3
Terung panjang kukus,Lauk Pauk,23,1.8,0.1,4.9
Tespong daun,Lauk Pauk,59,2.9,0.3,13.9
Tim (nasi tim),Makanan Pokok,120,2.4,0.4,26.0
Tinira ninahu nggaluku,Lauk Pauk,33,1.2,1.3,4.1
Tinoransak masakan,Lauk Pauk,516,17.7,49.5,0.0
Tipa-tipa,Lauk Pauk,355,6.2,1.2,79.8
Tiwul  ,Lauk Pauk,353,2.4,1.1,83.4
Tiwul Instan,Lauk Pauk,395,3.2,8.5,76.5
Toge -Tahu makanan,Sayur Mayur,392,5.4,28.5,28.4
Toge Goreng ,Sayur Mayur,93,4.4,1.8,15.1
Toge kacang ijo,Sayur Mayur,23,2.9,0.2,4.1
Toge kacang tunggak,Sayur Mayur,35,5.0,0.2,5.8
Toge kedelai,Sayur Mayur,67,9.0,2.6,6.4
Toge seduh,Sayur Mayur,28,3.0,0.8,4.0
Tomat air (juice) segar,Lauk Pauk,20,1.0,0.2,3.5
Tomat Masak,Lauk Pauk,20,1.0,0.3,4.2
Tomat merah segar,Lauk Pauk,24,1.3,0.5,4.7
Tomat muda segar,Lauk Pauk,24,2.0,0.7,3.3
Tumis bandeng,Lauk Pauk,189,11.3,15.7,0.6
Tumis bayam bersantan,Lauk Pauk,48,1.4,4.2,2.6
Ubi Cilembu,Makanan Pokok,186,1.9,0.2,44.3
Ubi Jalar Goreng ,Makanan Pokok,160,3.7,1.3,55.3
Ubi jalar kuning kukus,Makanan Pokok,100,0.7,0.3,23.8
Ubi jalar kuning segar,Makanan Pokok,119,0.5,0.4,25.1
Ubi jalar manis segar,Makanan Pokok,83,1.5,0.2,18.8
Ubi Jalar Merah,Makanan Pokok,123,1.8,0.7,27.9
Ubi jalar merah segar,Makanan Pokok,151,1.6,0.3,35.4
Ubi Jalar Putih,Makanan Pokok,123,1.8,0.7,27.9
Ubi Jalar Rebus,Makanan Pokok,114,1.4,9.6,25.6
Ubi Jalar Sayur,Makanan Pokok,184,1.4,0.3,22.5
Ubi jalar tinta/ kemayung,Makanan Pokok,108,0.5,0.4,25.6
Ubi jalar tinta/ kemayung kukus,Makanan Pokok,165,0.9,0.2,39.8
Uceng/ bunga melinjo segar,Lauk Pauk,82,5.8,1.3,11.7
Udang besar segar,Lauk Pauk,56,11.4,0.6,1.2
Udang galah segar,Lauk Pauk,81,16.5,0.3,3.0
Udang kering,Lauk Pauk,295,62.4,2.3,1.8
Udang kering mentah,Lauk Pauk,278,62.6,4.1,2.2
Udang papay mentah,Lauk Pauk,273,47.8,3.8,12.5
Udang segar,Lauk Pauk,91,21.0,0.2,0.1
Ulat sagu panggang,Lauk Pauk,380,11.9,30.3,14.9
Ulat sagu segar,Lauk Pauk,241,5.8,21.6,5.8
Umbi Uwi segar,Lauk Pauk,120,2.8,0.5,82.3
Umbut rotan,Lauk Pauk,34,2.4,0.3,5.5
Usus Sapi,Lauk Pauk,130,14.0,7.2,1.5
Uwi,Lauk Pauk,101,2.0,0.2,19.8
Vermicelli,Lauk Pauk,363,8.7,0.4,78.7
Wajit camilan,Lauk Pauk,303,6.3,2.7,63.3
Waluh balamak,Lauk Pauk,45,0.8,0.9,8.1
Widaran,Lauk Pauk,424,1.3,10.7,80.7
Wijen,Lauk Pauk,568,19.3,51.1,18.1
Wingko babat,Lauk Pauk,355,3.2,15.1,51.4
Woku ubi,Makanan Pokok,143,3.1,7.8,15.0
Worst (sosis daging),Lauk Pauk,452,14.5,42.3,2.3
Wortel Segar,Sayur Mayur,42,1.2,0.6,9.3
Wortel kukus,Sayur Mayur,37,1.0,0.6,8.3
Wortel rebus,Sayur Mayur,28,0.7,0.5,6.3
Yangko,Lauk Pauk,254,3.0,1.1,58.1
Yoghurt,Lauk Pauk,52,3.3,2.5,4.0
